"Ncases","Ncontrols","AF","Risk","Power_Log","Power_Score","Power_Prop","Power_Chi","Disease_frequency"
4000,6000,0.01,0.125,0.9989,0.9984,0.9985,0,1e-04
4000,6000,0.01,0.25,0.9825,0.9797,0.98,0,1e-04
4000,6000,0.01,0.375,0.9071,0.8961,0.8964,0,1e-04
4000,6000,0.01,0.5,0.7193,0.7031,0.7026,0,1e-04
4000,6000,0.01,0.625,0.4548,0.4344,0.4341,0,1e-04
4000,6000,0.01,0.75,0.23,0.2165,0.2169,0,1e-04
4000,6000,0.01,0.875,0.0914,0.0849,0.0847,0,1e-04
4000,6000,0.01,1,0.0465,0.0467,0.0468,0,1e-04
4000,6000,0.01,1.125,0.0865,0.096,0.0969,0,1e-04
4000,6000,0.01,1.25,0.1922,0.2064,0.2081,0,1e-04
4000,6000,0.01,1.375,0.3676,0.3894,0.3892,0,1e-04
4000,6000,0.01,1.5,0.5573,0.5773,0.5788,0,1e-04
4000,6000,0.01,1.75,0.8596,0.8727,0.8734,0,1e-04
4000,6000,0.01,2,0.9779,0.9809,0.9808,0,1e-04
4000,6000,0.01,5,1,1,1,0,1e-04
4000,6000,0.05,0.125,1,1,1,0,1e-04
4000,6000,0.05,0.25,1,1,1,0,1e-04
4000,6000,0.05,0.375,1,1,1,0,1e-04
4000,6000,0.05,0.5,1,1,1,0,1e-04
4000,6000,0.05,0.625,0.9837,0.9831,0.983,0,1e-04
4000,6000,0.05,0.75,0.7632,0.7556,0.7556,0,1e-04
4000,6000,0.05,0.875,0.2537,0.2484,0.2483,0,1e-04
4000,6000,0.05,1,0.0511,0.051,0.0509,0,1e-04
4000,6000,0.05,1.125,0.23,0.2373,0.2371,0,1e-04
4000,6000,0.05,1.25,0.6678,0.6768,0.6762,0,1e-04
4000,6000,0.05,1.375,0.9387,0.9411,0.9412,0,1e-04
4000,6000,0.05,1.5,0.9951,0.9955,0.9955,0,1e-04
4000,6000,0.05,1.75,1,1,1,0,1e-04
4000,6000,0.05,2,1,1,1,0,1e-04
4000,6000,0.05,5,1,1,1,0,1e-04
4000,6000,0.1,0.125,1,1,1,0,1e-04
4000,6000,0.1,0.25,1,1,1,0,1e-04
4000,6000,0.1,0.375,1,1,1,0,1e-04
4000,6000,0.1,0.5,1,1,1,0,1e-04
4000,6000,0.1,0.625,0.9999,0.9999,0.9999,0,1e-04
4000,6000,0.1,0.75,0.9574,0.9557,0.9558,0,1e-04
4000,6000,0.1,0.875,0.4342,0.4283,0.4284,0,1e-04
4000,6000,0.1,1,0.0512,0.0516,0.0519,0,1e-04
4000,6000,0.1,1.125,0.3864,0.3917,0.3922,0,1e-04
4000,6000,0.1,1.25,0.907,0.9093,0.9094,0,1e-04
4000,6000,0.1,1.375,0.9979,0.9981,0.9982,0,1e-04
4000,6000,0.1,1.5,1,1,1,0,1e-04
4000,6000,0.1,1.75,1,1,1,0,1e-04
4000,6000,0.1,2,1,1,1,0,1e-04
4000,6000,0.1,5,1,1,1,0,1e-04
4000,6000,0.2,0.125,1,1,1,0,1e-04
4000,6000,0.2,0.25,1,1,1,0,1e-04
4000,6000,0.2,0.375,1,1,1,0,1e-04
4000,6000,0.2,0.5,1,1,1,0,1e-04
4000,6000,0.2,0.625,1,1,1,0,1e-04
4000,6000,0.2,0.75,0.9989,0.9989,0.9989,0,1e-04
4000,6000,0.2,0.875,0.6703,0.6671,0.6675,0,1e-04
4000,6000,0.2,1,0.0494,0.0495,0.0492,0,1e-04
4000,6000,0.2,1.125,0.6106,0.6127,0.6138,0,1e-04
4000,6000,0.2,1.25,0.9896,0.99,0.99,0,1e-04
4000,6000,0.2,1.375,1,1,1,0,1e-04
4000,6000,0.2,1.5,1,1,1,0,1e-04
4000,6000,0.2,1.75,1,1,1,0,1e-04
4000,6000,0.2,2,1,1,1,0,1e-04
4000,6000,0.2,5,1,1,1,0,1e-04
4000,6000,0.5,0.125,1,1,1,0,1e-04
4000,6000,0.5,0.25,1,1,1,0,1e-04
4000,6000,0.5,0.375,1,1,1,0,1e-04
4000,6000,0.5,0.5,1,1,1,0,1e-04
4000,6000,0.5,0.625,1,1,1,0,1e-04
4000,6000,0.5,0.75,1,1,1,0,1e-04
4000,6000,0.5,0.875,0.8682,0.8681,0.8671,0,1e-04
4000,6000,0.5,1,0.0502,0.0501,0.0507,0,1e-04
4000,6000,0.5,1.125,0.7723,0.7723,0.7723,0,1e-04
4000,6000,0.5,1.25,0.9989,0.9989,0.9989,0,1e-04
4000,6000,0.5,1.375,1,1,1,0,1e-04
4000,6000,0.5,1.5,1,1,1,0,1e-04
4000,6000,0.5,1.75,1,1,1,0,1e-04
4000,6000,0.5,2,1,1,1,0,1e-04
4000,6000,0.5,5,1,1,1,0,1e-04
