"X5000","X5000.1","X0.01","X0.125","X1","X1.1","X1.2","X1.3","X1e.04"
"1",5000,5000,0.01,0.125,1,1,1,1,1e-04
"2",5000,5000,0.01,0.25,1,1,1,1,1e-04
"3",5000,5000,0.01,0.375,1,1,1,1,1e-04
"4",5000,5000,0.01,0.5,1,1,1,1,1e-04
"5",5000,5000,0.01,0.625,0,0,0,0,1e-04
"6",5000,5000,0.01,0.75,1,1,1,1,1e-04
"7",5000,5000,0.01,0.875,0,0,0,0,1e-04
"8",5000,5000,0.01,1,0,0,0,0,1e-04
"9",5000,5000,0.01,1.125,0,0,0,0,1e-04
"10",5000,5000,0.01,1.25,1,1,1,1,1e-04
"11",5000,5000,0.01,1.375,0,0,0,0,1e-04
"12",5000,5000,0.01,1.5,0,0,0,0,1e-04
"13",5000,5000,0.01,1.75,1,1,1,1,1e-04
"14",5000,5000,0.01,2,1,1,1,1,1e-04
"15",5000,5000,0.01,3,1,1,1,1,1e-04
"16",5000,5000,0.01,4,1,1,1,1,1e-04
"17",5000,5000,0.01,5,1,1,1,1,1e-04
"18",5000,5000,0.05,0.125,1,1,1,1,1e-04
"19",5000,5000,0.05,0.25,1,1,1,1,1e-04
"20",5000,5000,0.05,0.375,1,1,1,1,1e-04
"21",5000,5000,0.05,0.5,1,1,1,1,1e-04
"22",5000,5000,0.05,0.625,1,1,1,1,1e-04
"23",5000,5000,0.05,0.75,1,1,1,1,1e-04
"24",5000,5000,0.05,0.875,1,1,1,1,1e-04
"25",5000,5000,0.05,1,0,0,0,0,1e-04
"26",5000,5000,0.05,1.125,0,0,0,0,1e-04
"27",5000,5000,0.05,1.25,1,1,1,1,1e-04
"28",5000,5000,0.05,1.375,1,1,1,1,1e-04
"29",5000,5000,0.05,1.5,1,1,1,1,1e-04
"30",5000,5000,0.05,1.75,1,1,1,1,1e-04
"31",5000,5000,0.05,2,1,1,1,1,1e-04
"32",5000,5000,0.05,3,1,1,1,1,1e-04
"33",5000,5000,0.05,4,1,1,1,1,1e-04
"34",5000,5000,0.05,5,1,1,1,1,1e-04
"35",5000,5000,0.1,0.125,1,1,1,1,1e-04
"36",5000,5000,0.1,0.25,1,1,1,1,1e-04
"37",5000,5000,0.1,0.375,1,1,1,1,1e-04
"38",5000,5000,0.1,0.5,1,1,1,1,1e-04
"39",5000,5000,0.1,0.625,1,1,1,1,1e-04
"40",5000,5000,0.1,0.75,1,1,1,1,1e-04
"41",5000,5000,0.1,0.875,1,1,1,0,1e-04
"42",5000,5000,0.1,1,0,0,0,0,1e-04
"43",5000,5000,0.1,1.125,0,0,0,0,1e-04
"44",5000,5000,0.1,1.25,1,1,1,1,1e-04
"45",5000,5000,0.1,1.375,1,1,1,1,1e-04
"46",5000,5000,0.1,1.5,1,1,1,1,1e-04
"47",5000,5000,0.1,1.75,1,1,1,1,1e-04
"48",5000,5000,0.1,2,1,1,1,1,1e-04
"49",5000,5000,0.1,3,1,1,1,1,1e-04
"50",5000,5000,0.1,4,1,1,1,1,1e-04
"51",5000,5000,0.1,5,1,1,1,1,1e-04
"52",5000,5000,0.2,0.125,1,1,1,1,1e-04
"53",5000,5000,0.2,0.25,1,1,1,1,1e-04
"54",5000,5000,0.2,0.375,1,1,1,1,1e-04
"55",5000,5000,0.2,0.5,1,1,1,1,1e-04
"56",5000,5000,0.2,0.625,1,1,1,1,1e-04
"57",5000,5000,0.2,0.75,1,1,1,1,1e-04
"58",5000,5000,0.2,0.875,1,1,1,1,1e-04
"59",5000,5000,0.2,1,0,0,0,0,1e-04
"60",5000,5000,0.2,1.125,1,1,1,1,1e-04
"61",5000,5000,0.2,1.25,1,1,1,1,1e-04
"62",5000,5000,0.2,1.375,1,1,1,1,1e-04
"63",5000,5000,0.2,1.5,1,1,1,1,1e-04
"64",5000,5000,0.2,1.75,1,1,1,1,1e-04
"65",5000,5000,0.2,2,1,1,1,1,1e-04
"66",5000,5000,0.2,3,1,1,1,1,1e-04
"67",5000,5000,0.2,4,1,1,1,1,1e-04
"68",5000,5000,0.2,5,1,1,1,1,1e-04
"69",5000,5000,0.5,0.125,1,1,1,1,1e-04
"70",5000,5000,0.5,0.25,1,1,1,1,1e-04
"71",5000,5000,0.5,0.375,1,1,1,1,1e-04
"72",5000,5000,0.5,0.5,1,1,1,1,1e-04
"73",5000,5000,0.5,0.625,1,1,1,1,1e-04
"74",5000,5000,0.5,0.75,1,1,1,1,1e-04
"75",5000,5000,0.5,0.875,1,1,1,1,1e-04
"76",5000,5000,0.5,1,1,1,1,0,1e-04
"77",5000,5000,0.5,1.125,1,1,1,1,1e-04
"78",5000,5000,0.5,1.25,1,1,1,1,1e-04
"79",5000,5000,0.5,1.375,1,1,1,1,1e-04
"80",5000,5000,0.5,1.5,1,1,1,1,1e-04
"81",5000,5000,0.5,1.75,1,1,1,1,1e-04
"82",5000,5000,0.5,2,1,1,1,1,1e-04
"83",5000,5000,0.5,3,1,1,1,1,1e-04
"84",5000,5000,0.5,4,1,1,1,1,1e-04
"85",5000,5000,0.5,5,1,1,1,1,1e-04
"86",4000,6000,0.01,0.125,1,1,1,1,1e-04
"87",4000,6000,0.01,0.25,1,1,1,1,1e-04
"88",4000,6000,0.01,0.375,0,0,0,0,1e-04
"89",4000,6000,0.01,0.5,1,1,1,1,1e-04
"90",4000,6000,0.01,0.625,1,1,1,1,1e-04
"91",4000,6000,0.01,0.75,1,1,1,1,1e-04
"92",4000,6000,0.01,0.875,0,0,0,0,1e-04
"93",4000,6000,0.01,1,0,0,0,0,1e-04
"94",4000,6000,0.01,1.125,1,1,1,1,1e-04
"95",4000,6000,0.01,1.25,0,0,0,0,1e-04
"96",4000,6000,0.01,1.375,0,0,0,0,1e-04
"97",4000,6000,0.01,1.5,0,0,0,0,1e-04
"98",4000,6000,0.01,1.75,1,1,1,1,1e-04
"99",4000,6000,0.01,2,1,1,1,1,1e-04
"100",4000,6000,0.01,3,1,1,1,1,1e-04
"101",4000,6000,0.01,4,1,1,1,1,1e-04
