Ncases,Ncontrols,AF,Risk,Power_Log,Power_Score,Power_Prop,Power_Chi,Disease_frequency
5000,5000,0.01,0.125,1,1,1,1,1.00E-04
5000,5000,0.01,0.25,1,1,1,1,1.00E-04
5000,5000,0.01,0.375,0.9999,0.9999,0.9999,0.9999,1.00E-04
5000,5000,0.01,0.5,0.9842,0.9843,0.9844,0.9806,1.00E-04
5000,5000,0.01,0.625,0.8385,0.8413,0.8404,0.8194,1.00E-04
5000,5000,0.01,0.75,0.4736,0.4796,0.478,0.4508,1.00E-04
5000,5000,0.01,0.875,0.1435,0.1462,0.1465,0.1347,1.00E-04
5000,5000,0.01,1,0.0478,0.0489,0.0491,0.0437,1.00E-04
5000,5000,0.01,1.125,0.1384,0.1401,0.14,0.1272,1.00E-04
5000,5000,0.01,1.25,0.3817,0.3844,0.3851,0.3552,1.00E-04
5000,5000,0.01,1.375,0.6706,0.6721,0.6729,0.646,1.00E-04
5000,5000,0.01,1.5,0.8826,0.883,0.8833,0.8625,1.00E-04
5000,5000,0.01,1.75,0.994,0.994,0.9942,0.9914,1.00E-04
5000,5000,0.01,2,1,1,1,1,1.00E-04
5000,5000,0.01,3,1,1,1,1,1.00E-04
5000,5000,0.01,4,1,1,1,1,1.00E-04
5000,5000,0.01,5,1,1,1,1,1.00E-04
5000,5000,0.05,0.125,1,1,1,1,1.00E-04
5000,5000,0.05,0.25,1,1,1,1,1.00E-04
5000,5000,0.05,0.375,1,1,1,1,1.00E-04
5000,5000,0.05,0.5,1,1,1,1,1.00E-04
5000,5000,0.05,0.625,1,1,1,1,1.00E-04
5000,5000,0.05,0.75,0.9835,0.9837,0.9839,0.9648,1.00E-04
5000,5000,0.05,0.875,0.5155,0.5161,0.517,0.42,1.00E-04
5000,5000,0.05,1,0.0489,0.049,0.0487,0.0459,1.00E-04
5000,5000,0.05,1.125,0.4592,0.4602,0.4594,0.3653,1.00E-04
5000,5000,0.05,1.25,0.9498,0.9498,0.95,0.9106,1.00E-04
5000,5000,0.05,1.375,0.9997,0.9997,0.9997,0.9979,1.00E-04
5000,5000,0.05,1.5,1,1,1,1,1.00E-04
5000,5000,0.05,1.75,1,1,1,1,1.00E-04
5000,5000,0.05,2,1,1,1,1,1.00E-04
5000,5000,0.05,3,1,1,1,1,1.00E-04
5000,5000,0.05,4,1,1,1,1,1.00E-04
5000,5000,0.05,5,1,1,1,1,1.00E-04
5000,5000,0.1,0.125,1,1,1,1,1.00E-04
5000,5000,0.1,0.25,1,1,1,1,1.00E-04
5000,5000,0.1,0.375,1,1,1,1,1.00E-04
5000,5000,0.1,0.5,1,1,1,1,1.00E-04
5000,5000,0.1,0.625,1,1,1,1,1.00E-04
5000,5000,0.1,0.75,1,1,1,0.9999,1.00E-04
5000,5000,0.1,0.875,0.7829,0.783,0.783,0.6846,1.00E-04
5000,5000,0.1,1,0.0493,0.0494,0.0494,0.0525,1.00E-04
5000,5000,0.1,1.125,0.726,0.7262,0.7259,0.619,1.00E-04
5000,5000,0.1,1.25,0.9992,0.9992,0.9991,0.9958,1.00E-04
5000,5000,0.1,1.375,1,1,1,1,1.00E-04
5000,5000,0.1,1.5,1,1,1,1,1.00E-04
5000,5000,0.1,1.75,1,1,1,1,1.00E-04
5000,5000,0.1,2,1,1,1,1,1.00E-04
5000,5000,0.1,3,1,1,1,1,1.00E-04
5000,5000,0.1,4,1,1,1,1,1.00E-04
5000,5000,0.1,5,1,1,1,1,1.00E-04
5000,5000,0.2,0.125,1,1,1,1,1.00E-04
5000,5000,0.2,0.25,1,1,1,1,1.00E-04
5000,5000,0.2,0.375,1,1,1,1,1.00E-04
5000,5000,0.2,0.5,1,1,1,1,1.00E-04
5000,5000,0.2,0.625,1,1,1,1,1.00E-04
5000,5000,0.2,0.75,1,1,1,1,1.00E-04
5000,5000,0.2,0.875,0.9614,0.9614,0.962,0.9269,1.00E-04
5000,5000,0.2,1,0.0519,0.052,0.0519,0.0487,1.00E-04
5000,5000,0.2,1.125,0.9244,0.9245,0.9247,0.8719,1.00E-04
5000,5000,0.2,1.25,1,1,1,1,1.00E-04
5000,5000,0.2,1.375,1,1,1,1,1.00E-04
5000,5000,0.2,1.5,1,1,1,1,1.00E-04
5000,5000,0.2,1.75,1,1,1,1,1.00E-04
5000,5000,0.2,2,1,1,1,1,1.00E-04
5000,5000,0.2,3,1,1,1,1,1.00E-04
5000,5000,0.2,4,1,1,1,1,1.00E-04
5000,5000,0.2,5,1,1,1,1,1.00E-04
5000,5000,0.5,0.125,1,1,1,1,1.00E-04
5000,5000,0.5,0.25,1,1,1,1,1.00E-04
5000,5000,0.5,0.375,1,1,1,1,1.00E-04
5000,5000,0.5,0.5,1,1,1,1,1.00E-04
5000,5000,0.5,0.625,1,1,1,1,1.00E-04
5000,5000,0.5,0.75,1,1,1,1,1.00E-04
5000,5000,0.5,0.875,0.9967,0.9967,0.9967,0.9923,1.00E-04
5000,5000,0.5,1,0.0482,0.0482,0.0489,0.046,1.00E-04
5000,5000,0.5,1.125,0.9864,0.9864,0.9863,0.9688,1.00E-04
5000,5000,0.5,1.25,1,1,1,1,1.00E-04
5000,5000,0.5,1.375,1,1,1,1,1.00E-04
5000,5000,0.5,1.5,1,1,1,1,1.00E-04
5000,5000,0.5,1.75,1,1,1,1,1.00E-04
5000,5000,0.5,2,1,1,1,1,1.00E-04
5000,5000,0.5,3,1,1,1,1,1.00E-04
5000,5000,0.5,4,1,1,1,1,1.00E-04
5000,5000,0.5,5,1,1,1,1,1.00E-04
4000,6000,0.01,0.125,0.9983,0.998,0.998,0.9981,1.00E-04
4000,6000,0.01,0.25,0.9822,0.9797,0.9797,0.9801,1.00E-04
4000,6000,0.01,0.375,0.907,0.8975,0.8978,0.8997,1.00E-04
4000,6000,0.01,0.5,0.7289,0.7097,0.7088,0.7132,1.00E-04
4000,6000,0.01,0.625,0.4554,0.4354,0.436,0.4427,1.00E-04
4000,6000,0.01,0.75,0.2321,0.2159,0.2156,0.2218,1.00E-04
4000,6000,0.01,0.875,0.0888,0.0828,0.0831,0.0847,1.00E-04
4000,6000,0.01,1,0.0504,0.0507,0.0514,0.0484,1.00E-04
4000,6000,0.01,1.125,0.0836,0.0937,0.094,0.0753,1.00E-04
4000,6000,0.01,1.25,0.1936,0.2084,0.2093,0.1715,1.00E-04
4000,6000,0.01,1.375,0.3603,0.3857,0.3869,0.3254,1.00E-04
4000,6000,0.01,1.5,0.5528,0.5753,0.5769,0.5089,1.00E-04
4000,6000,0.01,1.75,0.8647,0.8772,0.8779,0.831,1.00E-04
4000,6000,0.01,2,0.9777,0.9807,0.9806,0.9659,1.00E-04
4000,6000,0.01,3,1,1,1,1,1.00E-04
4000,6000,0.01,4,1,1,1,1,1.00E-04
4000,6000,0.01,5,1,1,1,1,1.00E-04
4000,6000,0.05,0.125,1,1,1,1,1.00E-04
4000,6000,0.05,0.25,1,1,1,1,1.00E-04
4000,6000,0.05,0.375,1,1,1,1,1.00E-04
4000,6000,0.05,0.5,0.9998,0.9998,0.9998,0.9997,1.00E-04
4000,6000,0.05,0.625,0.9856,0.9845,0.9847,0.9664,1.00E-04
4000,6000,0.05,0.75,0.7564,0.7489,0.749,0.6634,1.00E-04
4000,6000,0.05,0.875,0.2496,0.2431,0.2428,0.2022,1.00E-04
4000,6000,0.05,1,0.0478,0.0481,0.0477,0.0474,1.00E-04
4000,6000,0.05,1.125,0.2267,0.2318,0.2323,0.1738,1.00E-04
4000,6000,0.05,1.25,0.6656,0.6745,0.6734,0.5615,1.00E-04
4000,6000,0.05,1.375,0.9375,0.9407,0.9408,0.8884,1.00E-04
4000,6000,0.05,1.5,0.9966,0.9969,0.9969,0.989,1.00E-04
4000,6000,0.05,1.75,1,1,1,1,1.00E-04
4000,6000,0.05,2,1,1,1,1,1.00E-04
4000,6000,0.05,3,1,1,1,1,1.00E-04
4000,6000,0.05,4,1,1,1,1,1.00E-04
4000,6000,0.05,5,1,1,1,1,1.00E-04
4000,6000,0.1,0.125,1,1,1,1,1.00E-04
4000,6000,0.1,0.25,1,1,1,1,1.00E-04
4000,6000,0.1,0.375,1,1,1,1,1.00E-04
4000,6000,0.1,0.5,1,1,1,1,1.00E-04
4000,6000,0.1,0.625,0.9999,0.9999,0.9999,0.9996,1.00E-04
4000,6000,0.1,0.75,0.9584,0.9566,0.957,0.9199,1.00E-04
4000,6000,0.1,0.875,0.4304,0.4243,0.4238,0.3404,1.00E-04
4000,6000,0.1,1,0.0525,0.0527,0.0532,0.0546,1.00E-04
4000,6000,0.1,1.125,0.3848,0.3912,0.3911,0.2958,1.00E-04
4000,6000,0.1,1.25,0.9068,0.9095,0.9097,0.8455,1.00E-04
4000,6000,0.1,1.375,0.997,0.9972,0.9974,0.993,1.00E-04
4000,6000,0.1,1.5,1,1,1,1,1.00E-04
4000,6000,0.1,1.75,1,1,1,1,1.00E-04
4000,6000,0.1,2,1,1,1,1,1.00E-04
4000,6000,0.1,3,1,1,1,1,1.00E-04
4000,6000,0.1,4,1,1,1,1,1.00E-04
4000,6000,0.1,5,1,1,1,1,1.00E-04
4000,6000,0.2,0.125,1,1,1,1,1.00E-04
4000,6000,0.2,0.25,1,1,1,1,1.00E-04
4000,6000,0.2,0.375,1,1,1,1,1.00E-04
4000,6000,0.2,0.5,1,1,1,1,1.00E-04
4000,6000,0.2,0.625,1,1,1,1,1.00E-04
4000,6000,0.2,0.75,0.9986,0.9985,0.9985,0.9963,1.00E-04
4000,6000,0.2,0.875,0.6679,0.664,0.6633,0.5685,1.00E-04
4000,6000,0.2,1,0.0492,0.0492,0.0498,0.0497,1.00E-04
4000,6000,0.2,1.125,0.6107,0.6137,0.6132,0.5031,1.00E-04
4000,6000,0.2,1.25,0.9903,0.9906,0.9907,0.9783,1.00E-04
4000,6000,0.2,1.375,1,1,1,1,1.00E-04
4000,6000,0.2,1.5,1,1,1,1,1.00E-04
4000,6000,0.2,1.75,1,1,1,1,1.00E-04
4000,6000,0.2,2,1,1,1,1,1.00E-04
4000,6000,0.2,3,1,1,1,1,1.00E-04
4000,6000,0.2,4,1,1,1,1,1.00E-04
4000,6000,0.2,5,1,1,1,1,1.00E-04
4000,6000,0.5,0.125,1,1,1,1,1.00E-04
4000,6000,0.5,0.25,1,1,1,1,1.00E-04
4000,6000,0.5,0.375,1,1,1,1,1.00E-04
4000,6000,0.5,0.5,1,1,1,1,1.00E-04
4000,6000,0.5,0.625,1,1,1,1,1.00E-04
4000,6000,0.5,0.75,1,1,1,1,1.00E-04
4000,6000,0.5,0.875,0.8714,0.8712,0.8715,0.7941,1.00E-04
4000,6000,0.5,1,0.0525,0.0523,0.0516,0.0503,1.00E-04
4000,6000,0.5,1.125,0.7748,0.7752,0.7751,0.6849,1.00E-04
